求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日
1014977,1,0,,,,上場,,,8,3,営業,販売・サービス関連,8,3,営業,販売・サービス関連,16,0,その他,,アスクル株式会社,オリジナル商品企画,同社が目指しているのは、オフィスに必要なものを「もっとも望ましいかたちで」「迅速に」提供することです。お客様のために進化する「Innovate for Customer」を目指し、常にお客様の声を聞きながら、商品、サービス、システム、そして私たち自身を進化させていきます。プライベートブランド、オリジナル商品の企画開発、および開発商品・開発プロセスのとりまとめを担当していただきます。近い将来、商品企画または開発業務のマネジメントをお任せすることもあります。オリジナル商品シリーズの企画、開発、オリジナル商品開発プロセスの見直しを国内外デザイナー、製造委託サプライヤーと行っていきます,商品開発またはマーチャンダイズ経験者のある方で自分が主体となってプロジェクト等を遂行したことがある方。素材、モノづくり、工場等でのご経験者歓迎,語学力（英語）がある方を歓迎します。,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人、サプライヤの笑顔も好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。サプライヤと一緒に仕事をするのが好きな人  <BR>,仕入れ、マーチャンダイジング、バイヤー業務の経験者で編集、カタログ制作経験もある方は優遇。エクセルの操作、経験が豊富な方。データ分析経験、考えることが好きな方,東京都,江東区,,,大卒以上,25,33,500,600,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,BtoB、BtoCの両方のご経験があればさらに歓迎です。,岡田,2012/8/16 14:48
1014972,1,0,,,,上場,,,16,0,その他,,16,0,その他,,11,0,WEB・モバイル関連,,アスクル株式会社,カタログ制作進行管理・企画,年2回発行する同社のカタログ制作の進行における下記の業務をお願いします。企画アイデアだし、デザイナーへのオリエンテーション、制作物の修正、進捗管理、データ管理、プロジェクト管理など全般をお願いします。,紙媒体の制作の基礎的な知識、経験、チラシ・冊子・新聞広告・カタログ・雑誌広告などの中で、いずれか１つでも経験のある方。会議をまとめることができる能力、基本的なプレゼンテーション、エクセル、ワード、パワーポイントの操作,チラシなど紙制作物・広告物関連の進行経験。部内、部外と良好な人間関係を築ける力。お客様の立場や視点で考えられる力。データ分析して考える力。物事の本質を捉える力,,,お客様のため（社会のため）に仕事をする人、進化する人。お客様の笑顔が好きな人。物事に対し、前向きに捉えることができる人。・部内、部外と良好な人間関係を築ける人。粘り強い人  <BR>,調達、購買にかかわる業務経験者。アクセス、エクセルのスキルがある方。交渉力の高い方。,東京都,江東区,,,大卒以上,25,34,470,650,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,企画とオペレーションの両方を行うポジションです。,岡田,2012/8/16 14:48
1015343,1,0,,,,上場,,,4,1,マーケティング・広報・IR,マーケティング,,,,,,,,,アスクル株式会社,セールスプロモーション,媒体、チラシなど企業向けに作成している販促物などを作成していただける方を募集します。販促関連業務全般をご担当いただきます。,販促、プロモーション経験者。紙媒体、チラシ、ＰＯＰなどの作成経験者歓迎,,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人、サプライヤの笑顔も好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。サプライヤと一緒に仕事をするのが好きな人  <BR>,販促、プロモーション経験者。紙媒体、チラシ、ＰＯＰなどの作成経験者歓迎,東京都,江東区,,,大卒以上,25,33,400,600,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,BtoB、BtoCの両方のご経験があればさらに歓迎です。,岡田,2012/8/16 14:48
1015370,1,0,,,,上場,,,4,1,マーケティング・広報・IR,マーケティング,2,6,ビジネスコンサルタント,その他,,,,,アスクル株式会社,マーケティングデータマネジメント（データ分析）,大規模な販売データの分析をしていただき、次のアクション、販売施策のアドバイス、企画指示をしていただきます。同社のパートナーである数千社のエージェントが抱える企業様向けの部門のプランニング＆オペレーションチームに所属をします。,データ分析経験者。エクセル、アクセス、その他分析ツール使用者。,,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人、サプライヤの笑顔も好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。サプライヤと一緒に仕事をするのが好きな人  <BR>,データ分析経験者。エクセル、アクセス、その他分析ツール使用者。,東京都,江東区,,,大卒以上,27,33,400,600,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,BtoB、BtoCの両方のご経験があればさらに歓迎です。,岡田,2012/8/16 14:48
1014973,1,0,,,,上場,,,8,3,営業,販売・サービス関連,8,3,営業,販売・サービス関連,16,0,その他,,アスクル株式会社,マーチャンダイザー,同社WEBショップでのマーチャンダイザー業務全般。資材、印刷、印鑑作成、コピー周り、サービスＭＤなどをご経験に応じてお任せいたします。アウトレットなども含みます。カタログ作成、編集業務など全行程にも関わるため、業務は広範囲となります。,仕入れ、マーチャンダイジング、バイヤー業務の経験者で編集、カタログ制作経験もある方は優遇。エクセルの操作、経験が豊富な方。データ分析経験、考えることが好きな方,チラシなど紙制作物・広告物関連の進行経験。部内、部外と良好な人間関係を築ける力。お客様の立場や視点で考えられる力。データ分析して考える力。物事の本質を捉える力,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人、サプライヤの笑顔も好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。サプライヤと一緒に仕事をするのが好きな人  <BR>,仕入れ、マーチャンダイジング、バイヤー業務の経験者で編集、カタログ制作経験もある方は優遇。エクセルの操作、経験が豊富な方。データ分析経験、考えることが好きな方,東京都,江東区,,,大卒以上,25,33,470,650,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,BtoB、BtoCの両方のご経験があればさらに歓迎です。,岡田,2012/8/16 14:48
1014971,1,0,,,,上場,,,16,0,その他,,16,0,その他,,16,0,その他,,アスクル株式会社,戦略調達・調達企画推進,サプライヤー数十社に対する発注業務、在庫管理、需要予測、各種SCMにかかわる業務改善企画、実行。安定調達と適性在庫、在庫回転率などを見る仕事になります。小売り業者の基盤を支える大事な仕事になります。中長期的には国内外から安定、ローコスト調達ネットワークを構想する企画、最適な発注計画を導き出す先端システム企画などを期待しています。,調達、購買にかかわる業務経験者。アクセス、エクセルのスキルがある方。交渉力の高い方。,細かな作業、面倒なことも厭わず取り組める方。改善意欲の高い方,,,成長意欲が高く、人が好きな方で良好な人間関係が構築できる方,調達、購買にかかわる業務経験者。アクセス、エクセルのスキルがある方。交渉力の高い方。,東京都,江東区,,,大卒以上,30,37,300,700,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,企画とオペレーションの両方を行うポジションです。,岡田,2012/8/16 14:48
1015342,1,0,,,,上場,,,7,3,その他企画・事務・管理,企画系,7,3,その他企画・事務・管理,企画系,7,4,その他企画・事務・管理,その他,アスクル株式会社,ソリューションサポート（プランニング&オペレーション）,同社のエージェントと呼ばれるパートナー数千社に対するアカウントマネジメント、プロジェクトプランニング、請求書発行、債権管理、指導など多岐にわたる営業企画業務です。ＢＰＲも含めて業務改善に意欲のある方を求めます。,営業管理、営業企画、債権管理業務経験者。パートナー企業等との交渉業務経験者。ＢＰＲなど業務改善のご経験のある方。,コミュニケーション力があり、交渉力の高い方。営業経験者歓迎,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人、サプライヤの笑顔も好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。サプライヤと一緒に仕事をするのが好きな人  <BR>,営業管理、営業企画、債権管理業務経験者。パートナー企業等との交渉業務経験者。ＢＰＲなど業務改善のご経験のある方。,東京都,江東区,,,大卒以上,27,33,470,650,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,BtoB、BtoCの両方のご経験があればさらに歓迎です。,岡田,2012/8/16 14:48
112607,1,0,,,,上場,,,5,0,人事,,5,0,人事,,5,0,人事,,アスクル株式会社,人事教育、採用スタッフ,人材開発、教育のスタッフ業務を御願いします。階層別研修企画、実行、新卒採用、教育などになります。研修、採用から入っていただき、その後人事全般の仕事を行っていただきたいと考えています。,事業会社での人材開発、教育、研修企画、実行経験3年以上。採用経験あればなお歓迎。人が好きで考える力があり、柔軟に対応ができる方。,新卒、階層別研修企画経験者歓迎。,,,未成熟な組織で柔軟に動ける方,人材開発、教育、研修企画、実行経験3年以上。採用経験あればなお歓迎。人が好きで考える力があり、柔軟に対応ができる方。,東京都,江東区,,,大卒以上,30,34,400,600,業績拡大と新組織確立のための増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,柔軟な思考をお持ちで、好印象をもたれるような方を求めています。,岡田,2012/8/16 14:47
1014974,1,0,,,,上場,,,8,4,営業,企画営業,8,7,営業,その他,8,7,営業,その他,アスクル株式会社,ソリューション営業【エージェント営業】,同社の中核を担う全国1400社のエージェントと呼ばれる販売代理店向けの営業を行っていただきます。担当は基本的にエリアで分けていますが、まずは東京・関東エリアを中心に、エージェントと共に地域売上の拡大を担当していただききます。この部門は、全国販売エージェントへの営業業務を行っている部署であり、売上拡大のための新規モデルの企画立案なども業務としてあります。考えながら行動することを意識したチームです。また、経験年数ではなく、ご自身のやる気さえあれば、どんどん新しいことにチャレンジできる環境であり、あなたのこれまでの経験・能力をフルに生かせる、非常にやりがいのある業務です。パワーあふれる若いあなたの力を存分に発揮してください。中堅企業の経営層、幹部クラスとの直接の仕事ができます。１人あたり大体３００社くらいを見ていただきます。,法人営業経験５年以上。PCスキル必須。広い視野を持ち、お客様志向の強い方。,スーパバイザー経験者歓迎,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。,法人営業経験５年以上。PCスキル必須。広い視野を持ち、お客様志向の強い方。,東京都,江東区,,,大卒以上,25,33,400,600,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,エージェントは経営幹部、経営者が多いため、ダイレクトに経営に触れるチャンスです。,岡田,2012/8/16 14:44
1014976,1,0,,,,上場,,,8,4,営業,企画営業,8,7,営業,その他,8,7,営業,その他,アスクル株式会社,ソリューション営業,同社をご利用いただく中堅・大企業のお客様の開拓と回収を担うエージェントの営業支援を行っていただきます。配属部署はプロキュアメントソリューション・ソリューション営業部門。同社のシステム、ソリューションをご利用いただく中堅・大企業のお客様の開拓とその回収を担うエージェントの営業支援を行います。中堅・大企業向けソロエルアリーナサービスの販売担当のエージェントの営業支援。大企業に提案する際の戦略立案や実際の営業同行によるコンサルティング。単なる販売ではなく、エージェントのアスクル事業を成長させるための事業計画、営業支援人材育成等々、幅広い経験が可能です。そのため、特に新規事業系の部門へのチャレンジなど、あなたの活躍の場は大きく広がるでしょう。,法人営業経験５年以上。PCスキル（ワード、エクセル、パワーポイント）必須。広い視野を持ち、お客様志向の強い方。改革、改善の気持ちの強い方。BetoB商材並びにBtoC商材の営業経験,数字に対して意識が高い方（達成する意欲が高い人物）,,,お客様のため（社会のため）に仕事をする人。自身の進化を追求する人。お客様の笑顔が好きな人。WIN-WIN-WINを実践できる人。物事に対し、否定的ではなく、前向きに捉えることができる人。,法人営業経験５年以上。PCスキル必須。広い視野を持ち、お客様志向の強い方。,東京都,江東区,東京都,新宿区,大卒以上,25,33,320,600,増員,100302,流通・小売・販売,下記商品およびサービスにおける通信販売事業。<BR>文房具・事務用品・オフィス家具・什器備品・インテリア用品・パソコン周辺機器・ソフトウエア・書籍・食料品・日用雑貨品・清涼飲料水・衣料品・家庭用電化製品・名刺・および封筒の印刷作成・伝票等の名入れ・サービス・オフセットプリント等。,病院向け、メディカル分野、飲食業、外食産業向けソリューション、大企業向け非生産財の購買代行など幅広く展開中。中小小事業所をはじめとするオフィスに必要な物やサービスを通信販売で「明日お届けする」トータル・オフィス・サポートサービスの会社です。「お客様のために進化する」の企業理念のもと、流通段階でのロスを省いた社会最適モデルを確立してきました。今後はさらに、次世代ビジネスを拡大していく中で、カタログビジネスで培ったノウハウを活かし、大企業から個人まで、いつでも・どこでも・誰にでも、欲しいものを欲しいときにお届けするための新たな流通プラットフォームの構築を目指すなど、常にチャレンジし続けています。多様性を持った人たちが集まり「Happy」を作っていく。そのために必要なことは「協働体を大切に」しながら働くことです。一人一人がお互いを思いやりながら、使命を果たすために皆で力を合わせ、常に変革を求めていく中で妥協しない関係を築いて行くことを大切にしています。<BR>,1997,5,312275,850,東京都,江東区豊洲3-2-3　豊洲キュービックガーデン,エージェントは経営幹部、経営者が多いため、ダイレクトに経営に触れるチャンスです。,岡田,2012/8/16 14:44
